lab_testcode,Local Name,Counts
Koolmonoxide-BL,Koolmonoxide,1023
KoolzuurspArt-BL,Koolzuurspanning (Art.),22041
KoolzuurspJugul-BL,Koolzuurspanning (Jugul.),51
KoolzuurspMix-BL,Koolzuurspanning (Mix.),1200
KoolzuurspVen-BL,Koolzuurspanning (Ven.),6179
Koper-BL,Koper,31
KorrelCyl-UP,Korrelcylinders,3679
KruisAH1-BL,Kruisproef BA1,9
KruisAH2-BL,Kruisproef BA2,9
KruisAH3-BL,Kruisproef BA3,9
KruisLiss-BL,Kruisproef Liss,223
LAC-BL,Lupus anticoagulans,612
Lactaat-BL,Lactaat,9047
Lamotrigine-BL,Lamotrigine,10
Latex-BL,Latex,10
LD-BL,LD,41492
LDIsoEnz1-BL,LD-iso fractie 1,15
LDIsoEnz2-BL,LD-iso fractie 2,15
LDIsoEnz3-BL,LD-iso fractie 3,15
LDIsoEnz4-BL,LD-iso fractie 4,15
LDIsoEnz5-BL,LD-iso fractie 5,15
LDLchol-BL,LDL-cholesterol,41067
LeucoCyl-UP,Leukocytencylinders,1498
Leucocyt-BL,Leukocyten,99336
LeucoScreen_UD-UP,Leukocyten screening,71
LeucoScreen-UP,Leukocyten screening,21430
Levetiracetam-BL,Levetiracetam,32
LevetiracetamDS-BL,Levetiracetam (DS),15
LH-BL,LH,958
LichDohle-BL,Lichaampjes van Dˆhle,45
Lineblot_AMA-M2-BL,anti-AMA-M2,25
Lineblot_Centromere-B-BL,anti-Centromere-B,25
Lineblot_dsDNA-BL,anti-dsDNA (Lineblot),25
Lineblot_Histones-BL,anti-Histones,25
Lineblot_Jo-1-BL,anti-Jo-1,25
Lineblot_Neg-BL,Lineblot_Neg,263
Lineblot_nRNP-Sm-BL,anti-nRNP/Sm,25
Lineblot_Nucleosomes-BL,anti-Nucleosomes,25
Lineblot_PCNA-BL,anti-PCNA,25
Lineblot_PM-Scl-BL,anti-PM-Scl,25
Lineblot_Pos-BL,Lineblot_Pos,263
Lineblot_RibP-protein-BL,anti-Ribosomal-P-protein,25
Lineblot_Ro-52-BL,anti-SSA-52,25
Lineblot_Scl-70-BL,anti-Scl-70,25
Lineblot_Sm-BL,anti-Sm,25
Lineblot_SS-A-BL,anti-SSA-60,25
Lineblot_SS-B-BL,anti-SS-B,25
LineBlot-BL,Line-blot,18
Lipase-BL,Lipase,1810
Lithium-BL,Lithium,109
LKM-BL,anti-LKM,18
Lpa-BL,Lp(a),871
LymfocytAbs-BL,Lymfocyten,21464
Lysozym-BL,Lysozyme,26
Macroplanie-BL,Macroplanie,870
Magnesium-BL,Magnesium,14800
Magnesium-UP,Magnesium,141
Magnesium-UV,Magnesium,109
MagnesiumVol-UV,Magnesium /24u,97
Maraviroc-BL,Maraviroc,18
MBLpathProcent-BL,MBL pathway,36
MBLpathway-BL,MBL pathway,34
MCH-BL,MCH,55303
MCHC-BL,MCHC,55397
MCV-BL,MCV,55338
MetamyeloAbs-BL,Metamyelocyten,1557
Metanefrine-UV,Metanefrine,650
MetanefrineVol-UV,Metanefrine /24u,579
Methadon-UP,Methadon,55
MetHb-BL,Met-Hb,999
Methotrexaat-BL,Methotrexaat,14
MethotrxaatDS-BL,Methotrexaat (DS),11
Methylmalonzuur-BL,Methylmalonzuur,259
MicroAlbumine-UP,Micro-albumine,17172
MicroAlbumine-UV,Micro-albumine,2110
MicroAlbumineVol-UV,Micro-albumine /24u,1835
Microplanie-BL,Microplanie,706
Midazolam-BL,Midazolam,15
Mitochondr-BL,anti-MitochondriÎn,202
MNSs_M-BL,MNSs syst.: M,19
MNSs_N-BL,MNSs syst.: N,15
MNSs_S-BL,MNSs syst.: grote S,15
MonocytAbs-BL,Monocyten,21464
MprotKwant-BL,M-proteÔne kwantitatief,1224
MprotKwant-UP,M-proteÔne kwantitatief,24
MprotKwant-UV,M-proteÔne kwantitatief,37
