Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
150,mli04,Niet/wel cholesterolabsorptie-remmers (vanaf juli 2001), ,    0,Nee, ,"8, 9"
150,mli04,Niet/wel cholesterolabsorptie-remmers (vanaf juli 2001), ,    1,Ja, ,"8, 9"
150,mli04,Niet/wel cholesterolabsorptie-remmers (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
150,mli04,Niet/wel cholesterolabsorptie-remmers (vanaf juli 2001), ,    9,Missend, ,"8, 9"
151,mas01,Niet/wel plaatjes-remmers, ,    0,Nee, ,9
151,mas01,Niet/wel plaatjes-remmers, ,    1,Ja, ,9
151,mas01,Niet/wel plaatjes-remmers, ,    9,Missend, ,9
152,mas01a,"Niet/wel aspirine, medicatie AS01 (vanaf juli 2001)", ,    0,Nee, ,"8, 9"
152,mas01a,"Niet/wel aspirine, medicatie AS01 (vanaf juli 2001)", ,    1,Ja, ,"8, 9"
152,mas01a,"Niet/wel aspirine, medicatie AS01 (vanaf juli 2001)", ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
152,mas01a,"Niet/wel aspirine, medicatie AS01 (vanaf juli 2001)", ,    9,Missend, ,"8, 9"
153,mas01b,"Niet/wel clopidogrel, medicatie AS01 (vanaf juli 2001)", ,    0,Nee, ,"8, 9"
153,mas01b,"Niet/wel clopidogrel, medicatie AS01 (vanaf juli 2001)", ,    1,Ja, ,"8, 9"
153,mas01b,"Niet/wel clopidogrel, medicatie AS01 (vanaf juli 2001)", ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
153,mas01b,"Niet/wel clopidogrel, medicatie AS01 (vanaf juli 2001)", ,    9,Missend, ,"8, 9"
154,mas01c,"Niet/wel dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    0,Nee, ,"8, 9"
154,mas01c,"Niet/wel dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    1,Ja, ,"8, 9"
154,mas01c,"Niet/wel dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
154,mas01c,"Niet/wel dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    9,Missend, ,"8, 9"
155,mas01d,"Niet/wel aspirine+dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    0,Nee, ,"8, 9"
155,mas01d,"Niet/wel aspirine+dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    1,Ja, ,"8, 9"
155,mas01d,"Niet/wel aspirine+dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
155,mas01d,"Niet/wel aspirine+dipyridamol, medicatie AS01 (vanaf juli 2001)", ,    9,Missend, ,"8, 9"
156,mas02,Niet/wel orale anticoagulantia, ,    0,Nee, ,9
156,mas02,Niet/wel orale anticoagulantia, ,    1,Ja, ,9
156,mas02,Niet/wel orale anticoagulantia, ,    9,Missend, ,9
157,mas02a,"Niet/wel acenocoumarol, medicatie AS02 (vanaf juli 2001)", ,    0,Nee, ,"8, 9"
157,mas02a,"Niet/wel acenocoumarol, medicatie AS02 (vanaf juli 2001)", ,    1,Ja, ,"8, 9"
157,mas02a,"Niet/wel acenocoumarol, medicatie AS02 (vanaf juli 2001)", ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
157,mas02a,"Niet/wel acenocoumarol, medicatie AS02 (vanaf juli 2001)", ,    9,Missend, ,"8, 9"
158,mas02b,"Niet/wel fenprocoumon, medicatie AS02 (vanaf juli 2001)", ,    0,Nee, ,"8, 9"
158,mas02b,"Niet/wel fenprocoumon, medicatie AS02 (vanaf juli 2001)", ,    1,Ja, ,"8, 9"
158,mas02b,"Niet/wel fenprocoumon, medicatie AS02 (vanaf juli 2001)", ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
158,mas02b,"Niet/wel fenprocoumon, medicatie AS02 (vanaf juli 2001)", ,    9,Missend, ,"8, 9"
159,mas02c,Niet/wel laag moleculair gewicht heparine, ,    0,Nee, , 
